"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 14:34:51 GMT 2023","Thu Sep 07 14:34:53 GMT 2023","2771","chromium","user.spec.ts","","","","should be able to register to our application",""
"passed","Thu Sep 07 14:34:48 GMT 2023","Thu Sep 07 14:34:51 GMT 2023","2515","chromium","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Thu Sep 07 14:34:45 GMT 2023","Thu Sep 07 14:34:48 GMT 2023","3471","chromium","todo.spec.ts","","","","should be able to add a new todo",""
