"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 08 09:59:12 GMT 2023","Fri Sep 08 09:59:14 GMT 2023","2453","chromium","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Sep 08 09:59:14 GMT 2023","Fri Sep 08 09:59:16 GMT 2023","1860","chromium","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Sep 08 09:59:16 GMT 2023","Fri Sep 08 09:59:18 GMT 2023","1928","chromium","user.spec.ts","","","","should be able to register to our application",""
